Nama Herbal,Khasiat,Saran Penyajian
Delima,"Delima (Punica granatum) mengandung senyawa tannin, flavonoid, dan polifenol yang bersifat antiinflamasi, antibakteri, dan antioksidan. Senyawa-senyawa tersebut dapat membantu mengurangi peradangan, membunuh bakteri penyebab infeksi, dan melindungi jaringan luka dari kerusakan, sehingga dapat mempercepat penyembuhan luka.","serbuk kulit buah atau bunga delima secukupnya dicampur dengan minyak wijen. aduk merata, lalu oleskan pada bagian yang luka."
Delima,"Delima (Punica granatum) mengandung senyawa tannin, flavonoid, dan polifenol yang bersifat antibakteri, antiinflamasi, dan antioksidan. Senyawa-senyawa tersebut dapat membantu membunuh bakteri penyebab sariawan, mengurangi peradangan, dan melindungi jaringan mulut dari kerusakan, sehingga dapat mengatasi sariawan.","dua buah delima segar yang sudah masak diambil isi dan bijinya, lalu tumbuk sampai halus. tambahkan satu gelas air sambil diaduk merata, lalu saring. gunakan airnya untuk berkumur, lalu tekan. lakukan 2-3 kali sehari sampai sembuh."
Delima,"Delima (Punica granatum) mengandung senyawa tannin yang bersifat antidiuretik. Senyawa tersebut dapat membantu mengurangi produksi urine, sehingga dapat mengurangi frekuensi buang air kecil.","buah delima (yang segar dan masak, satu buah) diambil isi dan bijinya dan segenggam kucai dipotong-potong. rebus dengan tiga gelas air bersih sampai tersisa separuhnya, angkat dan dinginkan. minum air rebusan dua kali sehari, masing-masing 3⁄4 gelas."
Delima,"Delima (Punica granatum) mengandung senyawa tannin, flavonoid, dan polifenol yang bersifat antibakteri, antijamur, dan antiinflamasi. Senyawa-senyawa tersebut dapat membantu membunuh bakteri dan jamur penyebab keputihan, mengurangi peradangan, dan menyehatkan flora vagina, sehingga dapat mengatasi keputihan.","30 gram kulit delima kering dan 15 gram herba sambiloto kering direbus dengan satu liter air bersih. biarkan sampai air rebusannya tersisa separuhnya. setelah dingin, saring dan bagi untuk tiga kali minum, pagi, siang, dan malam hari. air rebusan ini juga bisa digunakan untuk cuci vagina. khusus wanita yang sudah menikah, gunakan dengan alat semprot yang masuk ke liang vagina."
Delima,"Delima (Punica granatum) mengandung senyawa flavonoid, polifenol, dan tannin yang bersifat antiinflamasi, antibakteri, dan antivirus. Senyawa-senyawa tersebut dapat membantu mengurangi peradangan pada saluran pernapasan, membunuh bakteri dan virus penyebab batuk, serta melindungi jaringan paru-paru dari kerusakan, sehingga dapat mengatasi batuk kronis.","ambil sebuah delima yang belum terlalu masak. setiap malam sebelum tidur, kunyah biji delima tersebut. jangan ditelan."
Delima,"Delima (Punica granatum) mengandung senyawa tannin, flavonoid, dan polifenol yang bersifat antiinflamasi dan antibakteri. Senyawa-senyawa tersebut dapat membantu mengurangi peradangan pada tenggorokan, membunuh bakteri penyebab infeksi, dan menjaga kelembapan tenggorokan, sehingga dapat mengatasi suara serak dan tenggorokan kering.","ambil sebuah delima segar, dibelah, dan diambil isinya. kunyah, lalu buang bijinya. lakukan 2-3 kali sehari."
Gandarusa,"Kandungan senyawa flavonoid, alkaloid, dan tanin dalam gandarusa memiliki efek antiinflamasi, antibakteri, dan analgesik yang dapat membantu mengatasi tulang patah dan bisul. Efek antiinflamasi dapat membantu meredakan peradangan pada tulang dan jaringan di sekitarnya, sedangkan efek antibakteri dapat membantu membunuh bakteri penyebab infeksi pada tulang patah. Efek analgesik dapat membantu mengurangi rasa sakit akibat tulang patah.","Herba yang segar dilumatkan atau yang kering dihaluskan, diaduk dengan arak dan cuka secukupnya, digunakan untuk kompres. Tulang yang patah sudah dalam posisi yang benar dan terfiksasi."
Gandarusa,"Kandungan senyawa flavonoid, alkaloid, dan tanin dalam gandarusa memiliki efek antiinflamasi, antispasmodik, dan analgesik yang dapat membantu mengatasi memar, keseleo, dan rematik. Efek antiinflamasi dapat membantu meredakan peradangan pada jaringan yang mengalami memar, keseleo, atau rematik. Efek antispasmodik dapat membantu meredakan spasme otot yang menyebabkan nyeri pada memar, keseleo, atau rematik. Efek analgesik dapat membantu mengurangi rasa sakit akibat memar, keseleo, atau rematik.",5-30 gr Herba kering atau 30-60 gr gandarusa segar direbus minum airnya.
Iler,Iler memiliki kandungan senyawa flavonoid dan alkaloid yang dapat mengurangi peradangan dan nyeri. Kandungan senyawa ini dapat membantu meredakan gejala ambeien.,"17 lembar daun iler, 7 lembar daun ngokilo, 3 rimpang umbi dan kunyit (3 cm), direbus dengan 5 gelas air sampai mendidih. diminum 1 kali sehari 1 gelas."
Iler,"Iler memiliki kandungan senyawa flavonoid yang dapat membantu menurunkan kadar gula darah. Senyawa flavonoid ini dapat bekerja dengan cara meningkatkan sensitivitas sel terhadap insulin, sehingga dapat membantu sel menyerap glukosa dari darah.","herba iler lengkap (batang, daun, bunga) dan adas pulawaras secukupnya. direbus dengan 1 liter air sampai mendidih. diminum 2 kali sehari ½  gelas, pagi dan sore."
Iler,"Iler memiliki kandungan senyawa flavonoid dan alkaloid yang dapat menurunkan demam. Senyawa flavonoid ini dapat bekerja dengan cara meningkatkan pengeluaran keringat, sehingga dapat membantu menurunkan suhu tubuh. Selain itu, Iler memiliki kandungan senyawa saponin yang dapat melancarkan pencernaan. Senyawa saponin ini dapat bekerja dengan cara melembutkan feses, sehingga dapat mempermudah buang air besar.",1 potong daun dan batang iler direbus dengan 3 gelas air sampai mendidih hingga tinggal 2 gelas. diminum 2 kali sehari ½  gelas.
Iler,Iler memiliki kandungan senyawa flavonoid dan alkaloid yang dapat mengurangi peradangan dan nyeri. Kandungan senyawa ini dapat membantu meredakan gejala sakit perut.,3 potong akar iler direbus dengan 2 gelas air sampai mendidih hingga tinggal 1 gelas. diminum pagi dan sore.
Iler,Iler memiliki kandungan senyawa alkaloid yang dapat merangsang kontraksi rahim. Kandungan senyawa ini dapat membantu melancarkan menstruasi dan mengurangi rasa sakit saat menstruasi.,daun iler secukupnya direbus dengan 2 gelas air sampai mendidih hingga tinggal 1 gelas. diminum menjelang tanggal bulan haid.
Iler,Iler memiliki kandungan senyawa flavonoid dan alkaloid yang dapat mengurangi peradangan dan melawan infeksi. Kandungan senyawa ini dapat membantu meredakan gejala bisul.,"daun iler secukupnya diolesi minyak kelapa, kemudian dipanggang. dalam keadaan hangat-hangat ditempelkan pada bagian-bagian yang ada bisulnya."
Inggu,"Kandungan senyawa flavonoid, saponin, dan tanin dalam inggu memiliki efek diuretik, antiinflamasi, dan analgesik yang dapat membantu mengatasi demam. Efek diuretik dapat membantu mengeluarkan panas dari tubuh, sedangkan efek antiinflamasi dan analgesik dapat membantu meredakan peradangan dan mengurangi rasa sakit akibat demam.","1⁄2 genggam herba inggu segar dicuci bersih lalu direbus dengan 3 gelas air bersih sampai air rebusannya tersisa 4 bagian. Setelah dingin Lalu disaring, dapat ditambah madu sebelum diminum. Sehari 3 kali, masing-masing gelas."
Inggu,"Kandungan senyawa flavonoid, saponin, dan tanin dalam inggu memiliki efek antispasmodik, antiinflamasi, dan analgesik yang dapat membantu mengatasi kejang pada anak. Efek antispasmodik dapat membantu meredakan kejang, sedangkan efek antiinflamasi dan analgesik dapat membantu meredakan peradangan dan mengurangi rasa sakit akibat kejang.","15-20 g daun inggu segar dicuci bersih, lalu dipotong-potong. Rebus dengan 2 gelas air bersih sampai tersisa 1 gelas. Setelah dingin disaring, dibagi untuk 2 kali minum, pagi dan sore hari."
Inggu,"Kandungan senyawa flavonoid, saponin, dan tanin dalam inggu memiliki efek antispasmodik, antiradang, dan analgesik yang dapat membantu mengatasi nyeri ulu hati. Efek antispasmodik dapat membantu meredakan spasme otot di lambung yang menyebabkan nyeri, sedangkan efek antiradang dan analgesik dapat membantu meredakan peradangan dan mengurangi rasa sakit akibat nyeri.","15 g herba inggu segar dicuci dan direbus dengan 3 gelas air sampai tersisa 1 gelas. Setelah dingin disaring, lalu diminum sekaligus."
Inggu,"Kandungan senyawa flavonoid, saponin, dan tanin dalam inggu memiliki efek emenagog yang dapat membantu merangsang haid. Efek emenagog dapat membantu merangsang kontraksi otot rahim, sehingga dapat membantu memicu terjadinya haid.","28 g herba inggu kering direbus dengan 3 gelas air bersih sampai tersisa 1 gelas. Setelah dingin disaring, siap untuk dirninum. Setiap kali minum cukup 1⁄2 gelas."
Inggu,"Kandungan senyawa flavonoid, saponin, dan tanin dalam inggu memiliki efek antispasmodik dan antiinflamasi yang dapat membantu mengatasi kecikukan. Efek antispasmodik dapat membantu meredakan spasme otot laring yang menyebabkan kecikukan, sedangkan efek antiinflamasi dapat membantu meredakan peradangan di area laring.","3-5 genggam daun inggu dicuci, lalu direbus dengan 3 gelas air bersih sampai airnya menjadi bagian. Setelah dingin disaring. Diminum 3 kali sehari, masing-masing 4 gelas. Setiap kali minum dapat ditambah madu secukupnya."
Inggu,"Kandungan senyawa flavonoid, saponin, dan tanin dalam inggu memiliki efek antiinflamasi, analgesik, dan antibakteri yang dapat membantu mengatasi sakit telinga. Efek antiinflamasi dan analgesik dapat membantu meredakan peradangan dan rasa sakit akibat sakit telinga, sedangkan efek antibakteri dapat membantu melawan infeksi bakteri yang menyebabkan sakit telinga.","Tiga genggam daun inggu segar dicuci bersih lalu dibilas dengan air matang. Tumbuk sampai halus, kemudian peras dengan sepotong kain. Air perasannya diteteskan pada telinga yang sakit."
Inggu,"Kandungan senyawa flavonoid, saponin, dan tanin dalam inggu memiliki efek analgesik, antiinflamasi, dan antispasmodik yang dapat membantu mengatasi sakit kepala. Efek analgesik dapat membantu mengurangi rasa sakit, sedangkan efek antiinflamasi dan antispasmodik dapat membantu meredakan peradangan dan spasme otot yang menyebabkan sakit kepala.","Satu genggam daun inggu segar dicuci bersih lalu ditumbuk sampai lumat. Hasilnya dibagi dua sama banyak, tempelkan pada kedua pelipis."
Inggu,"Kandungan senyawa flavonoid, saponin, dan tanin dalam inggu memiliki efek analgesik, antibakteri, dan antiinflamasi yang dapat membantu mengatasi sakit gigi. Efek analgesik dapat membantu mengurangi rasa sakit, sedangkan efek antibakteri dan antiinflamasi dapat membantu melawan infeksi bakteri dan meredakan peradangan yang menyebabkan sakit gigi.",Tiga lembar daun inggu segar dicuci bersih lalu dibilas dengan air matang. Lumatkan dengan jari sa
Inggu,"Kandungan senyawa flavonoid, saponin, dan tanin dalam inggu memiliki efek antijamur, antibakteri, dan antiinflamasi yang dapat membantu mengatasi ketombe dan penyakit kulit. Efek antijamur dan antibakteri dapat membantu melawan jamur dan bakteri penyebab ketombe dan penyakit kulit, sedangkan efek antiinflamasi dapat membantu meredakan peradangan yang menyertai kondisi tersebut.","Segenggarn daun segar, sepotong kunyit, dan 1 sendok teh beras dicuci bersih, lalu digiling halus sampai seperti bubur. Gosokkan pada kulit kepala atau kulit yang terkena penyakit."
Inggu,"Kandungan senyawa flavonoid, saponin, dan tanin dalam inggu memiliki efek antiinflamasi, antibakteri, dan astringen yang dapat membantu mengatasi bisul. Efek antiinflamasi dan antibakteri dapat membantu meredakan peradangan dan melawan infeksi bakteri penyebab bisul, sedangkan efek astringen dapat membantu mengeringkan nanah dan mempercepat penyembuhan.",Segenggam daun inggu dicuci bersih lalu digiling halus. Hasil gilingannya diperas dan air perasannya ini dicampur dengan bubuk indigo. Gunakan untuk memoles bisul.
Inggu,"Kandungan senyawa flavonoid, saponin, dan tanin dalam inggu memiliki efek antiinflamasi, antioksidatif, dan hepatoprotektif yang dapat membantu mengatasi hepatitis. Efek antiinflamasi dan antioksidatif dapat membantu meredakan peradangan dan kerusakan hati, sedangkan efek hepatoprotektif dapat membantu melindungi hati dari kerusakan lebih lanjut.","Daun inggu segar sebanyak 1⁄3 genggam dicuci bersih, lalu ditambahkan 3 gelas air bersih kemudian direbus sampai airnya tersisa separo. Diminum secara teratur."
Jahe,"Jahe (Zingiber officinale Roscoe) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk mengatasi mulas. Jahe mengandung senyawa-senyawa yang bersifat antiinflamasi, antispasmodik, dan analgesik, yang dapat membantu meredakan peradangan, mengendurkan otot-otot pencernaan, dan mengurangi rasa nyeri.","3 rimpang jahe merah (parut), diperas. diminum 3 kali sehari 1 sdt."
Jahe,"Jahe (Zingiber officinale Roscoe) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk membuat serbat. Serbat jahe adalah minuman tradisional yang terbuat dari jahe, gula, dan air. Serbat jahe memiliki rasa yang manis dan hangat, serta memiliki berbagai macam manfaat kesehatan, seperti menghangatkan tubuh, meredakan mual, dan melancarkan pencernaan.","1 rimpang jahe, 2 biji bunga cengkih, 4 biji buah kemukus, 3 biji buah cabai jawa, 1 ruas jari tangan sereh, 1⁄5 butir biji pala, ½  lembar daun jeruk purut, sedikit kulit kayu manis dan gula aren secukupnya. dibuat infus atau diseduh dengan air 200 ml. diminum 2 kali sehari, pagi dan sore, tiap kali minum 100 ml. diulang selama 4 hari."
Jahe,"Jahe (Zingiber officinale Roscoe) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk mengatasi selesma. Jahe mengandung senyawa-senyawa yang bersifat antiinflamasi, antibakteri, dan antivirus, yang dapat membantu meredakan peradangan, membunuh bakteri, dan melawan virus penyebab selesma.","1 rimpang jahe merah, 1 genggam herba poko segar, 6 butir buah kemukus, 2 butir biji jintan hitam dan air sedikit. dipipis hingga berbentuk pasta. pindahkan ramuan ke kain bersih dan ikat dengan tali, kemudian masukkan ke dalam cuka hangat dan oleskan ke seluruh badan, agar mempercepat keluarnya keringat."
Jamblang,"Jamblang (Syzygium cumini) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk mengatasi batuk kronis dan asma. Buah jamblang mengandung senyawa-senyawa yang bersifat antispasmodik, antiinflamasi, dan antibakteri, yang dapat membantu meredakan kejang otot, peradangan, dan infeksi pada saluran pernapasan.","15 g buah jamblang segar dicuci sampai bersih, buang bijinya, lalu dimakan. Lakukan tiga kali sehari."
Jamblang,"Jamblang (Syzygium cumini) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk mengatasi batuk rejan. Buah jamblang mengandung senyawa-senyawa yang bersifat antibakteri, antiinflamasi, dan antispasmodik, yang dapat membantu meredakan peradangan, membunuh bakteri, dan meredakan kejang otot pada saluran pernapasan.","15 g buah jamblang kering, 1 buah empedu ayam betina, dan gula pasir secukupnya dimasukkan ke dalam mangkuk, ditambah air sampai seluruh bagian terendam, lalu ditim sampai matang. Minum airnya dan makan isinya. Lakukan sekali sehari sampai sembuh."
Jamblang,"Jamblang (Syzygium cumini) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk mengatasi batuk TB disertai nyeri dada. Buah jamblang mengandung senyawa-senyawa yang bersifat antibakteri, antiinflamasi, dan antioksidan, yang dapat membantu meredakan peradangan, membunuh bakteri, dan melindungi sel-sel paru-paru dari kerusakan.","30 g buah jamblang segar dan daun sembung segar ('Blumea balsamifera) (25 g) dicuci. Daun sembung dipotong-potong. Masukkan ke dalam mangkuk, tambahkan 15 g gula pasir dan air secukupnya sampai seluruh bahan terendam. Tim sampai matang. Setelah dingin, minum airnya. Makan buahnya, tetapi bijinya dibuang. Lakukan setiap malam sebelum tidur."
Jamblang,"Jamblang (Syzygium cumini) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk mengatasi diare anak. Buah jamblang mengandung senyawa-senyawa yang bersifat antidiare, antiinflamasi, dan antioksidan, yang dapat membantu mengurangi frekuensi buang air besar, meredakan peradangan, dan melindungi sel-sel usus dari kerusakan.","6 g buah jamblang segar yang belum matang dan 6 g beras yang sudah digongseng sampai kuning dimasukkan ke dalam mangkuk, tambahkan air secukupnya sampai semua bahan terendam. Tim sampai matang. Setelah dingin, makan sekaligus. Lakukan tiga kali sehari."
Jamblang,"Jamblang (Syzygium cumini) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk mengatasi nyeri lambung. Buah jamblang mengandung senyawa-senyawa yang bersifat antiinflamasi dan antimikroba, yang dapat membantu meredakan peradangan dan melawan bakteri penyebab nyeri lambung.","Gongseng 30 g buah jamblang kering tanpa biji sampai berbau harum. Masukkan ke dalam mangkuk, tambahkan air secukupnya sampai semua bahan terendam, lalu tim sampai matang. Setelah dingin, makan seluruhnya. Lakukan tiga kali sehari, selama 10 hari."
Jamblang,"Jamblang (Syzygium cumini) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk mengatasi sariawan. Buah jamblang mengandung senyawa-senyawa yang bersifat antibakteri dan antiinflamasi, yang dapat membantu melawan bakteri penyebab sariawan dan meredakan peradangan pada mulut.","Rebus kulit kayu atau daun secukupnya. Setelah dingin, gunakan untuk berkumur-kumur. Lakukan 3-4 kali dalam sehari."
Jambu Biji,"Jambu biji (Psidium guajava) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk membantu mengontrol kadar gula darah pada penderita diabetes melitus. Buah jambu biji mengandung senyawa-senyawa yang bersifat antioksidan, antiinflamasi, dan hipoglikemik, yang dapat membantu melindungi sel-sel pankreas, mengurangi peradangan, dan menurunkan kadar gula darah.","1 buah jambu biji setengah masak dibelah menjadi 4 bagian dan direbus dengan 1 liter air sampai mendidih, kemudian disaring untuk diambil airnya. diminum 2 kali sehari, pagi dan sore."
Jambu Biji,"Jambu biji (Psidium guajava) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk membantu mengatasi maag. Buah jambu biji mengandung senyawa-senyawa yang bersifat antiinflamasi, antimikroba, dan mukusinogenik, yang dapat membantu meredakan peradangan, membunuh bakteri penyebab maag, dan meningkatkan produksi lendir pelindung lambung.","8 lembar daun jambu biji yang masih segar direbus dengan 1,5 liter air sampai mendidih, kemudian disaring untuk diambil airnya. diminum 3 kali sehari, pagi, siang, dan sore."
Jambu Biji,"Jambu biji (Psidium guajava) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk membantu mengatasi sakit perut disertai diare. Buah jambu biji mengandung senyawa-senyawa yang bersifat antidiare, antiinflamasi, dan antioksidan, yang dapat membantu mengurangi frekuensi buang air besar, meredakan peradangan, dan melindungi sel-sel usus dari kerusakan.","5 lembar daun jambu biji, 1 potong akar, kulit dan batangnya direbus dengan 1,5 liter air sampai mendidih kemudian disaring untuk diambil airnya. diminum 2 kali sehari pagi dan sore."
Jambu Biji,"Jambu biji (Psidium guajava) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk membantu mengatasi diare pada bayi yang masih menyusu. Buah jambu biji mengandung senyawa-senyawa yang bersifat antidiare, antiinflamasi, dan antioksidan, yang dapat membantu mengurangi frekuensi buang air besar, meredakan peradangan, dan melindungi sel-sel usus dari kerusakan.","jambu biji yang masih muda dan garam secukupnya dikunyah oleh ibu yang masih menyusui bayi tersebut, airnya ditelan dan ampasnya dibuang."
Jambu Biji,"Jambu biji (Psidium guajava) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk membantu mengatasi masuk angin. Daun jambu biji mengandung senyawa-senyawa yang bersifat antiinflamasi, antipiretik, dan analgesik, yang dapat membantu meredakan peradangan, menurunkan demam, dan mengurangi rasa sakit.","10 lembar daun jambu biji yang masih muda, 1 butir cabai merah,3 mata buah asam, 1 potong gula kelapa, garam secukupnyam direbus bersama dengan 1 liter air sampai mendidih kemudian disaring untuk diambil airnya. diminum 2 kali sehari."
Jambu Biji,"Jambu biji (Psidium guajava) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk membantu mengatasi kencing berlebihan. Buah jambu biji mengandung senyawa-senyawa yang bersifat diuretik, yang dapat membantu meningkatkan pengeluaran urin.","1 genggam daun jambu biji yang masih muda, 3 sendok bubuk beras yang digoreng tanpa minyak, direbus bersama dengan 2,5 gelas air sampai mendidih hingga tinggal 1 gelas kemudian disaring. diminum tiap 3 jam sekali 3 sdm."
Jambu Biji,"Jambu biji (Psidium guajava) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk membantu mengatasi prolapsisani. Daun jambu biji mengandung senyawa-senyawa yang bersifat antiinflamasi, antimikroba, dan mukusinogenik, yang dapat membantu meredakan peradangan, membunuh bakteri penyebab infeksi, dan meningkatkan produksi lendir pelindung.","1 genggam daun jambu biji, 1 potong kulit batang jambu biji direbus bersama dengan 2 gelas air sampai mendidih, kemudian disaring untuk diambil airnya. air ramuan tersebut dalam keadaan masih hangat dipakai untuk mengompres selaput lendir poros usus (pusar) pada bayi."
Jambu Biji,"Jambu biji (Psidium guajava) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk membantu mengatasi sariawan. Buah jambu biji mengandung senyawa-senyawa yang bersifat antiinflamasi, antimikroba, dan mukusinogenik, yang dapat membantu meredakan peradangan, membunuh bakteri penyebab infeksi, dan meningkatkan produksi lendir pelindung.","1 genggam daun jambu biji, 1 potong kulit batang jambu biji, direbus bersama dengan 2 gelas air sampai mendidih, kemudian disaring untuk diambil airnya. diminum 2 kali sehari."
Jambu Biji,"Jambu biji (Psidium guajava) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk membantu mengatasi sakit kulit. Baik daun maupun buah jambu biji mengandung senyawa-senyawa yang bersifat antiinflamasi, antimikroba, dan antioksidan, yang dapat membantu meredakan peradangan, membunuh bakteri penyebab infeksi, dan melindungi sel-sel kulit dari kerusakan.","1 genggam daun jambu biji yang masih muda dan 7 kuntum bunga jambu biji, ditumbuk bersama-sama sampai halus. digunakan untuk menggosok bagian kulit yang sakit."
Jambu Biji,"Jambu biji (Psidium guajava) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk membantu mempercepat penyembuhan luka baru. Buah jambu biji mengandung senyawa-senyawa yang bersifat antiinflamasi, antimikroba, dan antioksidan, yang dapat membantu meredakan peradangan, membunuh bakteri penyebab infeksi, dan melindungi sel-sel kulit dari kerusakan.","3 pucuk daun jambu biji dikunyah sampai lembut, kemudian ditempelkan pada bagian tubuh yang luka agar tidak mengeluarkan darah terus-menerus."
Jarak,"Kandungan senyawa asam risinoleat dalam jarak memiliki efek antibakteri, antijamur, dan antiinflamasi yang dapat membantu mengatasi koreng. Efek antibakteri dan antijamur dapat membantu melawan bakteri dan jamur penyebab koreng, sedangkan efek antiinflamasi dapat membantu meredakan peradangan yang menyertai kondisi tersebut.","20 biji dibuang kulitnya, dilumatkan menjadi berbentuk bubur, ditambah sedikit garam dan diaduk rata. Tempel di tempat sakit sehari 2 kali."
Jarak,"Kandungan senyawa asam risinoleat dan ricin dalam jarak memiliki efek antiinflamasi dan tonik otot yang dapat membantu mengatasi prolapsus uterus dan rectum. Efek antiinflamasi dapat membantu meredakan peradangan yang menyebabkan prolapsus, sedangkan efek tonik otot dapat membantu memperkuat otot-otot yang menopang organ-organ tersebut.",Lumatkan biji jarak dan dipakai/ditempelkan pada titik pai hui yang terletak di kepala.
Jarak,Kandungan senyawa asam risinoleat dan ricin dalam jarak memiliki efek stimulasi kontraksi uterus yang dapat membantu mengatasi retensi plasenta. Efek stimulasi kontraksi uterus dapat membantu mengeluarkan plasenta yang tertinggal di dalam rahim.,Lumatkan biji jarak dan tempelkan ketitik akupunktur Yungchuan yang terletak di tengah-tengah telapak kaki.
Jarak,"Kandungan senyawa asam risinoleat dan ricin dalam jarak memiliki efek antiinflamasi dan antispasmodik yang dapat membantu mengatasi kelumpuhan otot wajah. Efek antiinflamasi dapat membantu meredakan peradangan yang menyebabkan kelumpuhan otot wajah, sedangkan efek antispasmodik dapat membantu merelaksasi otot-otot yang kaku.","Lumatkan biji jarak, tempelkan pada sendi mandibular dan lengkungan mulut, 1 x hari, selama 10 hari."
Jayanti,"Jayanti (Sesbania sesban) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk membantu mengatasi tuberkulosis (TBC) paru. Biji jayanti mengandung senyawa-senyawa yang bersifat antibakteri, antiinflamasi, dan imunostimulator, yang dapat membantu membunuh bakteri penyebab TBC, meredakan peradangan, dan meningkatkan daya tahan tubuh.","1⁄44 genggam daun jayanti sebanyak, dicuci bersih lalu ditumbuk sampai halus. Tambahkan 1⁄2 gelas air masak dan 1 sendok makan madu. Aduk sampai merata, lalu diperas dan disaring, minum. Lakukan 3 kali sehari."
Jayanti,"Jayanti (Sesbania sesban) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk membantu mengatasi kencing nanah. Daun jayanti mengandung senyawa-senyawa yang bersifat antibakteri dan antiinflamasi, yang dapat membantu membunuh bakteri penyebab kencing nanah dan meredakan peradangan pada saluran kemih.","1 jari akar jayanti, 6 lembar daun sirih, 6 buah kemukus, jintan hitam dan adas masing-masing 34 sendok teh, 4 jari pulosari, 3 jari gula enau, dicuci dan dipotong-potong seperlunya. Rebus dengan 4 gelas air bersih sampai tersisa 2 1⁄4 gelas. Setelah dingin disaring, minum. Sehari 3 x 4 gelas."
Jayanti,"Jayanti (Sesbania sesban) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk membantu mengatasi infeksi ginjal. Daun jayanti mengandung senyawa-senyawa yang bersifat antibakteri, antiinflamasi, dan diuretik, yang dapat membantu membunuh bakteri penyebab infeksi ginjal, meredakan peradangan pada ginjal, dan meningkatkan pengeluaran urin.","1 genggam daun jayanti, dicuci bersih lalu bilas dengan air matang. Masukkan daun tadi ke dalam 4 gelas air. Remas-remas daunnya sampai airnya berbusa. Saring, minum airnya. Lakukan setiap hari, sampai kencingnya menjadi lancar dan jernih kembali."
Jayanti,"Jayanti (Sesbania sesban) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk membantu mengatasi demam. Daun jayanti mengandung senyawa-senyawa yang bersifat antipiretik, yang dapat membantu menurunkan suhu tubuh.","Daun secukupnya dicuci bersih lalu diremas-remas dengan adas. Dibalurkan pada badan, yang akan memberikan rasa sejuk pada penderita demam."
Jeruk Nipis,"Jeruk nipis (Citrus aurantifolia) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk membantu mengatasi amandel. Jeruk nipis mengandung senyawa-senyawa yang bersifat antibakteri, antiinflamasi, dan analgesik, yang dapat membantu membunuh bakteri penyebab amandel, meredakan peradangan pada amandel, dan mengurangi rasa sakit.","1 buah jeruk nipis diperas untuk diambil airnya, 1 1⁄2 rimpang kunyit sebesar ibu jari diparut, kemudian dicampur dengan 2 sendok makan madu, diaduk sampai merata, dan disaring. Diminum 2 hari sekali secara teratur."
Jeruk Nipis,"Jeruk nipis (Citrus aurantifolia) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk membantu mengatasi malaria. Jeruk nipis mengandung senyawa-senyawa yang bersifat antioksidan, antipiretik, dan antimalaria, yang dapat membantu meningkatkan daya tahan tubuh, menurunkan suhu tubuh, dan membunuh parasit penyebab malaria.","1 buah jeruk nipis diperas airnya, kemudian dicampur dengan 1 sendok makan kecap dan garam secukupnya. Diminum tiap pagi menjelang sarapan."
Jeruk Nipis,"Jeruk nipis (Citrus aurantifolia) adalah tanaman herbal yang memiliki berbagai macam khasiat, salah satunya untuk membantu mengatasi ambeien. Jeruk nipis mengandung senyawa-senyawa yang bersifat antiinflamasi dan analgesik, yang dapat membantu meredakan peradangan dan nyeri pada ambeien.","2-4 potong akar jeruk nipis direbus dengan 1 1⁄2  liter air sampai mendidih hingga tinggal 1 liter, kemudian disaring. Diminum setiap sore secara teratur."
